#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.152309E-01   0.130751E+08   0.130506E+08  -0.141673E+04  -0.189012E+04   0.669887E+07   0.130408E+08   0.130709E+08   0.130408E+08  -0.294347E+00   0.638361E+07   0.638296E+07   0.142283E+02
   0.168177E-01   0.124415E+08   0.124136E+08  -0.107632E+04  -0.147540E+04   0.599248E+07   0.124063E+08   0.124368E+08   0.124063E+08  -0.280027E+00   0.607339E+07   0.607274E+07   0.129533E+02
   0.185699E-01   0.117613E+08   0.117298E+08  -0.939612E+03  -0.114414E+04   0.530294E+07   0.117255E+08   0.117560E+08   0.117255E+08  -0.264659E+00   0.574043E+07   0.573977E+07   0.117909E+02
   0.205045E-01   0.110491E+08   0.110137E+08  -0.585121E+03  -0.881734E+03   0.464387E+07   0.110129E+08   0.110432E+08   0.110129E+08  -0.248574E+00   0.539188E+07   0.539122E+07   0.107244E+02
   0.226408E-01   0.102992E+08   0.102600E+08  -0.521440E+03  -0.674211E+03   0.401743E+07   0.102629E+08   0.102926E+08   0.102629E+08  -0.231646E+00   0.502500E+07   0.502434E+07   0.972282E+01
   0.249996E-01   0.953828E+07   0.949546E+07  -0.398211E+03  -0.512202E+03   0.343833E+07   0.950225E+07   0.953109E+07   0.950225E+07  -0.214478E+00   0.465285E+07   0.465219E+07   0.877001E+01
   0.276041E-01   0.877532E+07   0.872948E+07  -0.283728E+03  -0.386553E+03   0.291052E+07   0.873990E+07   0.876762E+07   0.873990E+07  -0.197270E+00   0.427982E+07   0.427917E+07   0.784157E+01
   0.304800E-01   0.801372E+07   0.796584E+07  -0.242021E+03  -0.289569E+03   0.243482E+07   0.797931E+07   0.800568E+07   0.797931E+07  -0.180103E+00   0.390760E+07   0.390697E+07   0.691384E+01
   0.336555E-01   0.727410E+07   0.722563E+07  -0.163675E+03  -0.215611E+03   0.201576E+07   0.724112E+07   0.726596E+07   0.724112E+07  -0.163441E+00   0.354630E+07   0.354570E+07   0.597671E+01
   0.371618E-01   0.658315E+07   0.653594E+07  -0.124460E+03  -0.160070E+03   0.165672E+07   0.655195E+07   0.657523E+07   0.655195E+07  -0.147886E+00   0.320896E+07   0.320840E+07   0.503265E+01
   0.410335E-01   0.595798E+07   0.591417E+07  -0.109392E+03  -0.118844E+03   0.135582E+07   0.592888E+07   0.595062E+07   0.592888E+07  -0.133822E+00   0.290395E+07   0.290345E+07   0.409572E+01
   0.451368E-01   0.543030E+07   0.539175E+07   0.694858E+02  -0.895405E+02   0.111731E+07   0.540344E+07   0.542382E+07   0.540344E+07  -0.121962E+00   0.264672E+07   0.264628E+07   0.323091E+01
   0.492402E-01   0.501974E+07   0.498731E+07   0.539628E+02  -0.695695E+02   0.938954E+06   0.499501E+07   0.501430E+07   0.499501E+07  -0.112743E+00   0.244675E+07   0.244638E+07   0.250940E+01
   0.533435E-01   0.468967E+07   0.466334E+07   0.429523E+02  -0.553961E+02   0.801351E+06   0.466686E+07   0.468524E+07   0.466686E+07  -0.105337E+00   0.228609E+07   0.228578E+07   0.193486E+01
   0.574469E-01   0.441228E+07   0.439131E+07   0.348425E+02  -0.449519E+02   0.691763E+06   0.439117E+07   0.440876E+07   0.439117E+07  -0.991142E-01   0.215111E+07   0.215085E+07   0.150337E+01
   0.615502E-01   0.416657E+07   0.414970E+07   0.286592E+02  -0.369860E+02   0.601723E+06   0.414688E+07   0.416374E+07   0.414688E+07  -0.936001E-01   0.203149E+07   0.203127E+07   0.120176E+01
   0.656536E-01   0.393406E+07   0.391980E+07   0.237804E+02  -0.306987E+02   0.525199E+06   0.391555E+07   0.393167E+07   0.391555E+07  -0.883787E-01   0.191821E+07   0.191801E+07   0.100850E+01
   0.697569E-01   0.370317E+07   0.369006E+07   0.198253E+02  -0.256003E+02   0.458480E+06   0.368562E+07   0.370097E+07   0.368562E+07  -0.831891E-01   0.180561E+07   0.180543E+07   0.897552E+00
   0.738603E-01   0.347585E+07   0.346269E+07   0.165944E+02  -0.214343E+02   0.400286E+06   0.345910E+07   0.347364E+07   0.345910E+07  -0.780761E-01   0.169467E+07   0.169449E+07   0.842953E+00
   0.779636E-01   0.324534E+07   0.323132E+07   0.139021E+02  -0.179617E+02   0.348588E+06   0.322929E+07   0.324299E+07   0.322929E+07  -0.728890E-01   0.158212E+07   0.158193E+07   0.817907E+00
   0.820670E-01   0.302296E+07   0.300774E+07   0.116834E+02  -0.150992E+02   0.303621E+06   0.300755E+07   0.302040E+07   0.300755E+07  -0.678840E-01   0.147351E+07   0.147331E+07   0.802758E+00
   0.861703E-01   0.281515E+07   0.279882E+07   0.986582E+01  -0.127533E+02   0.265021E+06   0.280035E+07   0.281240E+07   0.280035E+07  -0.632073E-01   0.137202E+07   0.137182E+07   0.782627E+00
   0.913029E-01   0.258392E+07   0.256684E+07   0.806347E+01  -0.104262E+02   0.225031E+06   0.256991E+07   0.258106E+07   0.256991E+07  -0.580059E-01   0.125914E+07   0.125894E+07   0.737950E+00
   0.964354E-01   0.239176E+07   0.237494E+07   0.668904E+01  -0.865093E+01   0.193317E+06   0.237854E+07   0.238893E+07   0.237854E+07  -0.536866E-01   0.116540E+07   0.116520E+07   0.668552E+00
   0.101568E+00   0.224091E+07   0.222536E+07   0.564931E+01  -0.730737E+01   0.168604E+06   0.222850E+07   0.223830E+07   0.222850E+07  -0.503000E-01   0.109190E+07   0.109172E+07   0.581055E+00
   0.106700E+00   0.212561E+07   0.211205E+07   0.485568E+01  -0.628146E+01   0.149287E+06   0.211399E+07   0.212333E+07   0.211399E+07  -0.477153E-01   0.103580E+07   0.103564E+07   0.487464E+00
   0.111833E+00   0.203410E+07   0.202277E+07   0.423032E+01  -0.547287E+01   0.133690E+06   0.202321E+07   0.203220E+07   0.202321E+07  -0.456664E-01   0.991330E+06   0.991196E+06   0.400348E+00
   0.116966E+00   0.195369E+07   0.194439E+07   0.371471E+01  -0.480612E+01   0.120442E+06   0.194346E+07   0.195213E+07   0.194346E+07  -0.438662E-01   0.952259E+06   0.952144E+06   0.329365E+00
   0.122098E+00   0.187447E+07   0.186666E+07   0.327093E+01  -0.423227E+01   0.108619E+06   0.186481E+07   0.187316E+07   0.186481E+07  -0.420910E-01   0.913729E+06   0.913627E+06   0.279324E+00
   0.127231E+00   0.179068E+07   0.178363E+07   0.287764E+01  -0.372374E+01   0.977227E+05   0.178149E+07   0.178950E+07   0.178149E+07  -0.402104E-01   0.872912E+06   0.872816E+06   0.249878E+00
   0.132363E+00   0.170081E+07   0.169385E+07   0.252511E+01  -0.326792E+01   0.875721E+05   0.169201E+07   0.169964E+07   0.169201E+07  -0.381908E-01   0.829076E+06   0.828982E+06   0.236596E+00
   0.137496E+00   0.160688E+07   0.159956E+07   0.221051E+01  -0.286115E+01   0.781923E+05   0.159843E+07   0.160565E+07   0.159843E+07  -0.360784E-01   0.783226E+06   0.783130E+06   0.232845E+00
   0.142628E+00   0.151319E+07   0.150530E+07   0.193411E+01  -0.250373E+01   0.697015E+05   0.150504E+07   0.151186E+07   0.150504E+07  -0.339706E-01   0.737472E+06   0.737373E+06   0.231829E+00
   0.147761E+00   0.142504E+07   0.141669E+07   0.169678E+01  -0.219677E+01   0.622326E+05   0.141720E+07   0.142364E+07   0.141720E+07  -0.319879E-01   0.694435E+06   0.694334E+06   0.228239E+00
   0.152893E+00   0.134737E+07   0.133885E+07   0.149817E+01  -0.193984E+01   0.558683E+05   0.133984E+07   0.134594E+07   0.133984E+07  -0.302417E-01   0.656532E+06   0.656432E+06   0.219159E+00
