#    L    TT             EE             BB             TE          
   271   0.485045E+04   0.446402E+01   0.124432E-02   0.929359E+02
   272   0.482358E+04   0.459022E+01   0.123879E-02   0.941496E+02
   273   0.479627E+04   0.471817E+01   0.123302E-02   0.953487E+02
   274   0.476866E+04   0.484846E+01   0.122701E-02   0.965111E+02
   275   0.474068E+04   0.498057E+01   0.122077E-02   0.976590E+02
   276   0.471247E+04   0.511472E+01   0.121431E-02   0.987701E+02
   277   0.468382E+04   0.525092E+01   0.120764E-02   0.998667E+02
   278   0.465495E+04   0.538909E+01   0.120077E-02   0.100927E+03
   279   0.462579E+04   0.552915E+01   0.119371E-02   0.101957E+03
   280   0.459633E+04   0.567112E+01   0.118646E-02   0.102973E+03
   281   0.456672E+04   0.581505E+01   0.117903E-02   0.103953E+03
   282   0.453666E+04   0.596067E+01   0.117143E-02   0.104903E+03
   283   0.450646E+04   0.610818E+01   0.116367E-02   0.105824E+03
   284   0.447603E+04   0.625752E+01   0.115576E-02   0.106716E+03
   285   0.444539E+04   0.640868E+01   0.114770E-02   0.107578E+03
   286   0.441445E+04   0.656153E+01   0.113951E-02   0.108404E+03
   287   0.438329E+04   0.671605E+01   0.113118E-02   0.109208E+03
   288   0.435198E+04   0.687225E+01   0.112274E-02   0.109975E+03
   289   0.432044E+04   0.703006E+01   0.111419E-02   0.110713E+03
   290   0.428876E+04   0.718932E+01   0.110553E-02   0.111422E+03
   291   0.425694E+04   0.735079E+01   0.109678E-02   0.112087E+03
   292   0.422467E+04   0.751334E+01   0.108794E-02   0.112731E+03
   293   0.419255E+04   0.767662E+01   0.107902E-02   0.113330E+03
   294   0.416013E+04   0.784209E+01   0.107004E-02   0.113907E+03
   295   0.412779E+04   0.800828E+01   0.106099E-02   0.114441E+03
   296   0.409516E+04   0.817668E+01   0.105188E-02   0.114946E+03
   297   0.406245E+04   0.834506E+01   0.104274E-02   0.115421E+03
   298   0.402952E+04   0.851563E+01   0.103355E-02   0.115852E+03
   299   0.399660E+04   0.868768E+01   0.102434E-02   0.116247E+03
   300   0.396352E+04   0.885970E+01   0.101510E-02   0.116606E+03
   301   0.393038E+04   0.903318E+01   0.100585E-02   0.116935E+03
   302   0.389723E+04   0.920739E+01   0.996600E-03   0.117235E+03
   303   0.386402E+04   0.938307E+01   0.987343E-03   0.117492E+03
   304   0.383073E+04   0.956021E+01   0.978090E-03   0.117704E+03
   305   0.379744E+04   0.973734E+01   0.968845E-03   0.117888E+03
   306   0.376407E+04   0.991520E+01   0.959614E-03   0.118034E+03
   307   0.373071E+04   0.100938E+02   0.950401E-03   0.118137E+03
   308   0.369735E+04   0.102746E+02   0.941212E-03   0.118218E+03
   309   0.366407E+04   0.104547E+02   0.932053E-03   0.118248E+03
   310   0.363071E+04   0.106347E+02   0.922927E-03   0.118249E+03
   311   0.359742E+04   0.108170E+02   0.913841E-03   0.118205E+03
   312   0.356421E+04   0.109985E+02   0.904799E-03   0.118133E+03
   313   0.353099E+04   0.111808E+02   0.895807E-03   0.118016E+03
   314   0.349786E+04   0.113638E+02   0.886870E-03   0.117870E+03
   315   0.346479E+04   0.115460E+02   0.877993E-03   0.117680E+03
   316   0.343180E+04   0.117291E+02   0.869181E-03   0.117454E+03
   317   0.339888E+04   0.119113E+02   0.860439E-03   0.117190E+03
   318   0.336603E+04   0.120951E+02   0.851772E-03   0.116890E+03
   319   0.333333E+04   0.122781E+02   0.843187E-03   0.116554E+03
   320   0.330078E+04   0.124611E+02   0.834687E-03   0.116188E+03
   321   0.326830E+04   0.126449E+02   0.826278E-03   0.115778E+03
   322   0.323597E+04   0.128272E+02   0.817965E-03   0.115331E+03
   323   0.320378E+04   0.130096E+02   0.809753E-03   0.114848E+03
   324   0.317174E+04   0.131926E+02   0.801647E-03   0.114320E+03
   325   0.313991E+04   0.133728E+02   0.793654E-03   0.113771E+03
   326   0.310816E+04   0.135544E+02   0.785776E-03   0.113170E+03
   327   0.307663E+04   0.137353E+02   0.778021E-03   0.112539E+03
   328   0.304532E+04   0.139148E+02   0.770393E-03   0.111880E+03
   329   0.301415E+04   0.140942E+02   0.762897E-03   0.111176E+03
   330   0.298321E+04   0.142722E+02   0.755538E-03   0.110435E+03
   331   0.295255E+04   0.144495E+02   0.748322E-03   0.109665E+03
   332   0.292204E+04   0.146268E+02   0.741254E-03   0.108865E+03
   333   0.289175E+04   0.148027E+02   0.734338E-03   0.108029E+03
   334   0.286175E+04   0.149778E+02   0.727580E-03   0.107155E+03
   335   0.283190E+04   0.151508E+02   0.720986E-03   0.106245E+03
   336   0.280234E+04   0.153230E+02   0.714559E-03   0.105306E+03
   337   0.277307E+04   0.154945E+02   0.708306E-03   0.104322E+03
   338   0.274401E+04   0.156639E+02   0.702232E-03   0.103316E+03
   339   0.271532E+04   0.158332E+02   0.696342E-03   0.102273E+03
   340   0.268685E+04   0.160004E+02   0.690640E-03   0.101208E+03
   341   0.265860E+04   0.161654E+02   0.685133E-03   0.100099E+03
   342   0.263071E+04   0.163304E+02   0.679824E-03   0.989601E+02
   343   0.260312E+04   0.164926E+02   0.674720E-03   0.977918E+02
   344   0.257589E+04   0.166532E+02   0.669826E-03   0.965941E+02
   345   0.254887E+04   0.168117E+02   0.665147E-03   0.953667E+02
   346   0.252222E+04   0.169695E+02   0.660687E-03   0.941173E+02
   347   0.249586E+04   0.171244E+02   0.656452E-03   0.928308E+02
   348   0.246986E+04   0.172771E+02   0.652448E-03   0.915148E+02
   349   0.244415E+04   0.174284E+02   0.648678E-03   0.901692E+02
   350   0.241881E+04   0.175767E+02   0.645150E-03   0.888014E+02
   351   0.239398E+04   0.177236E+02   0.641865E-03   0.874041E+02
   352   0.236929E+04   0.178684E+02   0.638818E-03   0.859771E+02
   353   0.234503E+04   0.180102E+02   0.636004E-03   0.845353E+02
