#    L    TT             EE             BB             TE             PP             TP             EP          
    76   0.198062E+04   0.397163E+00   0.593910E-02  -0.877962E+01   0.109890E-06   0.538271E-03  -0.744173E-06
    77   0.200576E+04   0.410822E+00   0.597371E-02  -0.928187E+01   0.109204E-06   0.530542E-03  -0.701292E-06
    78   0.203126E+04   0.424667E+00   0.600534E-02  -0.979580E+01   0.108518E-06   0.522926E-03  -0.643810E-06
    79   0.205694E+04   0.438644E+00   0.603397E-02  -0.103176E+02   0.107834E-06   0.515387E-03  -0.584201E-06
    80   0.208290E+04   0.452756E+00   0.605960E-02  -0.108486E+02   0.107150E-06   0.507888E-03  -0.534928E-06
    81   0.210904E+04   0.466953E+00   0.608220E-02  -0.113893E+02   0.106469E-06   0.500408E-03  -0.506052E-06
    82   0.213544E+04   0.481255E+00   0.610179E-02  -0.119386E+02   0.105789E-06   0.492976E-03  -0.498070E-06
    83   0.216202E+04   0.495639E+00   0.611837E-02  -0.124963E+02   0.105111E-06   0.485636E-03  -0.509089E-06
    84   0.218887E+04   0.510101E+00   0.613194E-02  -0.130602E+02   0.104435E-06   0.478432E-03  -0.537218E-06
    85   0.221584E+04   0.524617E+00   0.614251E-02  -0.136315E+02   0.103762E-06   0.471407E-03  -0.580570E-06
    86   0.224302E+04   0.539198E+00   0.615009E-02  -0.142090E+02   0.103092E-06   0.464595E-03  -0.636683E-06
    87   0.227062E+04   0.553814E+00   0.615469E-02  -0.147921E+02   0.102425E-06   0.457990E-03  -0.700807E-06
    88   0.229821E+04   0.568481E+00   0.615634E-02  -0.153808E+02   0.101761E-06   0.451579E-03  -0.767619E-06
    89   0.232616E+04   0.583183E+00   0.615506E-02  -0.159768E+02   0.101100E-06   0.445347E-03  -0.831802E-06
    90   0.235431E+04   0.597883E+00   0.615086E-02  -0.165771E+02   0.100442E-06   0.439278E-03  -0.888042E-06
    91   0.238261E+04   0.612575E+00   0.614378E-02  -0.171826E+02   0.997883E-07   0.433361E-03  -0.932078E-06
    92   0.241119E+04   0.627243E+00   0.613387E-02  -0.177927E+02   0.991376E-07   0.427589E-03  -0.963843E-06
    93   0.244006E+04   0.641881E+00   0.612118E-02  -0.184073E+02   0.984904E-07   0.421956E-03  -0.984321E-06
    94   0.246900E+04   0.656452E+00   0.610579E-02  -0.190251E+02   0.978468E-07   0.416458E-03  -0.994493E-06
    95   0.249823E+04   0.670958E+00   0.608774E-02  -0.196467E+02   0.972068E-07   0.411090E-03  -0.995339E-06
    96   0.252745E+04   0.685384E+00   0.606710E-02  -0.202715E+02   0.965704E-07   0.405847E-03  -0.987837E-06
    97   0.255711E+04   0.699717E+00   0.604392E-02  -0.208988E+02   0.959377E-07   0.400725E-03  -0.972969E-06
