#    L    TT             EE             TE             PP             TP          
   123   0.338502E+04   0.989401E+00  -0.362693E+02   0.371597E+07   0.500743E+04
   124   0.341880E+04   0.996569E+00  -0.367722E+02   0.369256E+07   0.495320E+04
   125   0.345255E+04   0.100331E+01  -0.372639E+02   0.366933E+07   0.489987E+04
   126   0.348637E+04   0.100968E+01  -0.377436E+02   0.364628E+07   0.484743E+04
   127   0.352018E+04   0.101556E+01  -0.382104E+02   0.362341E+07   0.479589E+04
   128   0.355396E+04   0.102108E+01  -0.386637E+02   0.360072E+07   0.474524E+04
   129   0.358780E+04   0.102609E+01  -0.391027E+02   0.357821E+07   0.469549E+04
   130   0.362163E+04   0.103059E+01  -0.395266E+02   0.355589E+07   0.464665E+04
   131   0.365543E+04   0.103475E+01  -0.399369E+02   0.353374E+07   0.459869E+04
   132   0.368929E+04   0.103839E+01  -0.403306E+02   0.351178E+07   0.455161E+04
   133   0.372306E+04   0.104161E+01  -0.407101E+02   0.348999E+07   0.450538E+04
   134   0.375681E+04   0.104440E+01  -0.410708E+02   0.346839E+07   0.445996E+04
   135   0.379054E+04   0.104669E+01  -0.414159E+02   0.344696E+07   0.441533E+04
   136   0.382412E+04   0.104847E+01  -0.417416E+02   0.342571E+07   0.437147E+04
   137   0.385768E+04   0.104982E+01  -0.420502E+02   0.340463E+07   0.432834E+04
   138   0.389115E+04   0.105068E+01  -0.423402E+02   0.338372E+07   0.428591E+04
   139   0.392440E+04   0.105118E+01  -0.426110E+02   0.336299E+07   0.424416E+04
   140   0.395771E+04   0.105110E+01  -0.428633E+02   0.334243E+07   0.420307E+04
   141   0.399078E+04   0.105053E+01  -0.430950E+02   0.332204E+07   0.416260E+04
   142   0.402386E+04   0.104952E+01  -0.433067E+02   0.330182E+07   0.412272E+04
   143   0.405685E+04   0.104809E+01  -0.434986E+02   0.328176E+07   0.408341E+04
   144   0.408961E+04   0.104616E+01  -0.436699E+02   0.326187E+07   0.404464E+04
   145   0.412223E+04   0.104388E+01  -0.438200E+02   0.324215E+07   0.400639E+04
   146   0.415491E+04   0.104103E+01  -0.439489E+02   0.322259E+07   0.396862E+04
   147   0.418723E+04   0.103783E+01  -0.440551E+02   0.320320E+07   0.393130E+04
   148   0.421940E+04   0.103412E+01  -0.441401E+02   0.318397E+07   0.389442E+04
   149   0.425149E+04   0.102999E+01  -0.442025E+02   0.316490E+07   0.385794E+04
   150   0.428330E+04   0.102552E+01  -0.442402E+02   0.314598E+07   0.382183E+04
   151   0.431496E+04   0.102062E+01  -0.442560E+02   0.312723E+07   0.378607E+04
   152   0.434632E+04   0.101522E+01  -0.442486E+02   0.310863E+07   0.375067E+04
   153   0.437754E+04   0.100947E+01  -0.442157E+02   0.309019E+07   0.371561E+04
   154   0.440854E+04   0.100337E+01  -0.441595E+02   0.307191E+07   0.368090E+04
   155   0.443932E+04   0.996919E+00  -0.440793E+02   0.305378E+07   0.364654E+04
   156   0.446973E+04   0.990119E+00  -0.439750E+02   0.303580E+07   0.361254E+04
   157   0.450006E+04   0.982967E+00  -0.438452E+02   0.301798E+07   0.357889E+04
   158   0.453010E+04   0.975538E+00  -0.436907E+02   0.300031E+07   0.354559E+04
   159   0.455984E+04   0.967684E+00  -0.435113E+02   0.298278E+07   0.351265E+04
   160   0.458936E+04   0.959551E+00  -0.433056E+02   0.296541E+07   0.348007E+04
   161   0.461865E+04   0.951214E+00  -0.430752E+02   0.294818E+07   0.344785E+04
   162   0.464763E+04   0.942525E+00  -0.428199E+02   0.293110E+07   0.341599E+04
   163   0.467647E+04   0.933557E+00  -0.425383E+02   0.291417E+07   0.338450E+04
   164   0.470486E+04   0.924384E+00  -0.422319E+02   0.289738E+07   0.335336E+04
   165   0.473309E+04   0.914932E+00  -0.418984E+02   0.288074E+07   0.332259E+04
   166   0.476102E+04   0.905348E+00  -0.415394E+02   0.286424E+07   0.329219E+04
   167   0.478872E+04   0.895411E+00  -0.411555E+02   0.284788E+07   0.326216E+04
   168   0.481597E+04   0.885490E+00  -0.407446E+02   0.283166E+07   0.323249E+04
   169   0.484291E+04   0.875288E+00  -0.403066E+02   0.281559E+07   0.320319E+04
   170   0.486954E+04   0.865028E+00  -0.398429E+02   0.279965E+07   0.317426E+04
   171   0.489572E+04   0.854710E+00  -0.393515E+02   0.278384E+07   0.314571E+04
   172   0.492152E+04   0.844258E+00  -0.388337E+02   0.276818E+07   0.311753E+04
   173   0.494686E+04   0.833673E+00  -0.382895E+02   0.275265E+07   0.308973E+04
   174   0.497189E+04   0.823252E+00  -0.377190E+02   0.273726E+07   0.306230E+04
   175   0.499654E+04   0.812697E+00  -0.371214E+02   0.272199E+07   0.303525E+04
   176   0.502065E+04   0.802229E+00  -0.364966E+02   0.270687E+07   0.300857E+04
   177   0.504438E+04   0.791776E+00  -0.358463E+02   0.269187E+07   0.298227E+04
   178   0.506765E+04   0.781558E+00  -0.351688E+02   0.267700E+07   0.295633E+04
   179   0.509047E+04   0.771277E+00  -0.344642E+02   0.266226E+07   0.293074E+04
   180   0.511298E+04   0.761156E+00  -0.337340E+02   0.264765E+07   0.290549E+04
   181   0.513496E+04   0.751194E+00  -0.329782E+02   0.263316E+07   0.288057E+04
   182   0.515648E+04   0.741464E+00  -0.321953E+02   0.261880E+07   0.285598E+04
   183   0.517748E+04   0.731892E+00  -0.313868E+02   0.260457E+07   0.283171E+04
   184   0.519810E+04   0.722550E+00  -0.305520E+02   0.259045E+07   0.280774E+04
   185   0.521827E+04   0.713587E+00  -0.296930E+02   0.257646E+07   0.278407E+04
   186   0.523762E+04   0.704860E+00  -0.288070E+02   0.256258E+07   0.276069E+04
   187   0.525681E+04   0.696511E+00  -0.278954E+02   0.254883E+07   0.273758E+04
   188   0.527548E+04   0.688522E+00  -0.269596E+02   0.253519E+07   0.271475E+04
   189   0.529356E+04   0.680931E+00  -0.259983E+02   0.252166E+07   0.269218E+04
   190   0.531148E+04   0.673789E+00  -0.250137E+02   0.250826E+07   0.266986E+04
   191   0.532852E+04   0.667118E+00  -0.240027E+02   0.249496E+07   0.264778E+04
   192   0.534518E+04   0.660938E+00  -0.229677E+02   0.248178E+07   0.262594E+04
   193   0.536124E+04   0.655294E+00  -0.219100E+02   0.246870E+07   0.260432E+04
   194   0.537694E+04   0.650214E+00  -0.208275E+02   0.245574E+07   0.258292E+04
   195   0.539205E+04   0.645736E+00  -0.197225E+02   0.244289E+07   0.256172E+04
   196   0.540656E+04   0.641894E+00  -0.185941E+02   0.243014E+07   0.254072E+04
   197   0.542064E+04   0.638734E+00  -0.174439E+02   0.241749E+07   0.251991E+04
   198   0.543420E+04   0.636276E+00  -0.162711E+02   0.240495E+07   0.249928E+04
   199   0.544724E+04   0.634557E+00  -0.150765E+02   0.239252E+07   0.247882E+04
   200   0.545978E+04   0.633606E+00  -0.138608E+02   0.238018E+07   0.245852E+04
   201   0.547172E+04   0.633481E+00  -0.126233E+02   0.236795E+07   0.243838E+04
   202   0.548316E+04   0.634189E+00  -0.113654E+02   0.235582E+07   0.241838E+04
   203   0.549400E+04   0.635788E+00  -0.100864E+02   0.234378E+07   0.239854E+04
   204   0.550419E+04   0.638301E+00  -0.878930E+01   0.233184E+07   0.237884E+04
   205   0.551386E+04   0.641770E+00  -0.747181E+01   0.232000E+07   0.235930E+04
   206   0.552288E+04   0.646232E+00  -0.613520E+01   0.230826E+07   0.233990E+04
   207   0.553137E+04   0.651708E+00  -0.477989E+01   0.229661E+07   0.232065E+04
   208   0.553914E+04   0.658249E+00  -0.340640E+01   0.228506E+07   0.230155E+04
   209   0.554631E+04   0.665877E+00  -0.201509E+01   0.227359E+07   0.228259E+04
   210   0.555290E+04   0.674642E+00  -0.606836E+00   0.226223E+07   0.226377E+04
   211   0.555889E+04   0.684574E+00   0.818305E+00   0.225095E+07   0.224510E+04
   212   0.556416E+04   0.695702E+00   0.225941E+01   0.223977E+07   0.222658E+04
   213   0.556890E+04   0.708068E+00   0.371654E+01   0.222867E+07   0.220819E+04
   214   0.557299E+04   0.721665E+00   0.518850E+01   0.221767E+07   0.218995E+04
   215   0.557648E+04   0.736685E+00   0.667455E+01   0.220675E+07   0.217184E+04
   216   0.557932E+04   0.752942E+00   0.817523E+01   0.219592E+07   0.215388E+04
   217   0.558164E+04   0.770589E+00   0.968854E+01   0.218518E+07   0.213605E+04
   218   0.558329E+04   0.789628E+00   0.112147E+02   0.217453E+07   0.211836E+04
   219   0.558436E+04   0.810056E+00   0.127547E+02   0.216396E+07   0.210081E+04
   220   0.558483E+04   0.832021E+00   0.143041E+02   0.215347E+07   0.208339E+04
   221   0.558472E+04   0.855448E+00   0.158652E+02   0.214307E+07   0.206611E+04
   222   0.558401E+04   0.880485E+00   0.174364E+02   0.213275E+07   0.204896E+04
   223   0.558257E+04   0.907056E+00   0.190185E+02   0.212251E+07   0.203194E+04
   224   0.558069E+04   0.935162E+00   0.206078E+02   0.211236E+07   0.201506E+04
   225   0.557814E+04   0.964948E+00   0.222073E+02   0.210228E+07   0.199831E+04
   226   0.557500E+04   0.996415E+00   0.238133E+02   0.209229E+07   0.198169E+04
   227   0.557120E+04   0.102956E+01   0.254273E+02   0.208237E+07   0.196520E+04
   228   0.556688E+04   0.106439E+01   0.270478E+02   0.207253E+07   0.194884E+04
   229   0.556197E+04   0.110096E+01   0.286733E+02   0.206277E+07   0.193261E+04
   230   0.555639E+04   0.113929E+01   0.303046E+02   0.205308E+07   0.191650E+04
   231   0.555015E+04   0.117944E+01   0.319410E+02   0.204347E+07   0.190052E+04
   232   0.554339E+04   0.122135E+01   0.335809E+02   0.203393E+07   0.188466E+04
   233   0.553604E+04   0.126522E+01   0.352230E+02   0.202447E+07   0.186893E+04
   234   0.552795E+04   0.131091E+01   0.368679E+02   0.201508E+07   0.185333E+04
   235   0.551934E+04   0.135850E+01   0.385141E+02   0.200576E+07   0.183785E+04
   236   0.551006E+04   0.140799E+01   0.401618E+02   0.199651E+07   0.182248E+04
   237   0.550020E+04   0.145944E+01   0.418094E+02   0.198733E+07   0.180724E+04
   238   0.548974E+04   0.151293E+01   0.434569E+02   0.197823E+07   0.179212E+04
   239   0.547876E+04   0.156832E+01   0.451036E+02   0.196919E+07   0.177712E+04
   240   0.546704E+04   0.162567E+01   0.467473E+02   0.196022E+07   0.176224E+04
   241   0.545488E+04   0.168513E+01   0.483888E+02   0.195131E+07   0.174748E+04
   242   0.544212E+04   0.174655E+01   0.500272E+02   0.194247E+07   0.173283E+04
   243   0.542877E+04   0.181009E+01   0.516611E+02   0.193370E+07   0.171830E+04
   244   0.541483E+04   0.187566E+01   0.532913E+02   0.192499E+07   0.170388E+04
   245   0.540030E+04   0.194334E+01   0.549149E+02   0.191635E+07   0.168958E+04
   246   0.538524E+04   0.201313E+01   0.565332E+02   0.190776E+07   0.167539E+04
   247   0.536967E+04   0.208495E+01   0.581442E+02   0.189924E+07   0.166131E+04
   248   0.535350E+04   0.215918E+01   0.597477E+02   0.189078E+07   0.164735E+04
   249   0.533688E+04   0.223528E+01   0.613432E+02   0.188238E+07   0.163350E+04
   250   0.531967E+04   0.231372E+01   0.629290E+02   0.187404E+07   0.161975E+04
   251   0.530202E+04   0.239418E+01   0.645060E+02   0.186576E+07   0.160612E+04
   252   0.528370E+04   0.247690E+01   0.660726E+02   0.185754E+07   0.159259E+04
   253   0.526508E+04   0.256165E+01   0.676275E+02   0.184937E+07   0.157917E+04
   254   0.524586E+04   0.264872E+01   0.691705E+02   0.184127E+07   0.156586E+04
   255   0.522613E+04   0.273783E+01   0.707018E+02   0.183321E+07   0.155265E+04
   256   0.520595E+04   0.282934E+01   0.722214E+02   0.182522E+07   0.153954E+04
   257   0.518532E+04   0.292281E+01   0.737210E+02   0.181728E+07   0.152654E+04
   258   0.516418E+04   0.301861E+01   0.752134E+02   0.180939E+07   0.151365E+04
   259   0.514259E+04   0.311659E+01   0.766836E+02   0.180156E+07   0.150085E+04
   260   0.512063E+04   0.321676E+01   0.781465E+02   0.179379E+07   0.148815E+04
   261   0.509814E+04   0.331904E+01   0.795800E+02   0.178607E+07   0.147556E+04
   262   0.507514E+04   0.342365E+01   0.810062E+02   0.177840E+07   0.146306E+04
   263   0.505199E+04   0.353037E+01   0.824177E+02   0.177079E+07   0.145066E+04
   264   0.502825E+04   0.363927E+01   0.838072E+02   0.176322E+07   0.143835E+04
   265   0.500398E+04   0.375029E+01   0.851673E+02   0.175571E+07   0.142614E+04
