#    L    TT             EE             BB             TE          
   258   0.480716E+00   0.185436E-02   0.129023E-02  -0.122721E-01
   259   0.471421E+00   0.187028E-02   0.128862E-02  -0.122674E-01
   260   0.462077E+00   0.188607E-02   0.128667E-02  -0.122411E-01
   261   0.452693E+00   0.190173E-02   0.128437E-02  -0.121941E-01
   262   0.443276E+00   0.191721E-02   0.128174E-02  -0.121270E-01
   263   0.433838E+00   0.193252E-02   0.127878E-02  -0.120404E-01
   264   0.424385E+00   0.194761E-02   0.127550E-02  -0.119351E-01
   265   0.414928E+00   0.196247E-02   0.127191E-02  -0.118117E-01
   266   0.405476E+00   0.197707E-02   0.126802E-02  -0.116709E-01
   267   0.396036E+00   0.199140E-02   0.126383E-02  -0.115133E-01
   268   0.386619E+00   0.200543E-02   0.125936E-02  -0.113397E-01
   269   0.377233E+00   0.201913E-02   0.125461E-02  -0.111506E-01
   270   0.367886E+00   0.203249E-02   0.124960E-02  -0.109468E-01
   271   0.358589E+00   0.204548E-02   0.124432E-02  -0.107289E-01
   272   0.349350E+00   0.205809E-02   0.123879E-02  -0.104977E-01
   273   0.340178E+00   0.207028E-02   0.123302E-02  -0.102537E-01
   274   0.331082E+00   0.208203E-02   0.122701E-02  -0.999762E-02
   275   0.322071E+00   0.209333E-02   0.122077E-02  -0.973020E-02
   276   0.313153E+00   0.210415E-02   0.121431E-02  -0.945206E-02
   277   0.304338E+00   0.211446E-02   0.120764E-02  -0.916389E-02
   278   0.295635E+00   0.212425E-02   0.120077E-02  -0.886634E-02
   279   0.287053E+00   0.213349E-02   0.119371E-02  -0.856010E-02
   280   0.278600E+00   0.214216E-02   0.118646E-02  -0.824583E-02
   281   0.270286E+00   0.215024E-02   0.117903E-02  -0.792420E-02
   282   0.262120E+00   0.215771E-02   0.117143E-02  -0.759589E-02
   283   0.254109E+00   0.216453E-02   0.116367E-02  -0.726157E-02
   284   0.246265E+00   0.217070E-02   0.115576E-02  -0.692190E-02
   285   0.238595E+00   0.217618E-02   0.114770E-02  -0.657756E-02
   286   0.231108E+00   0.218096E-02   0.113951E-02  -0.622922E-02
   287   0.223813E+00   0.218501E-02   0.113118E-02  -0.587755E-02
   288   0.216720E+00   0.218831E-02   0.112274E-02  -0.552322E-02
   289   0.209837E+00   0.219083E-02   0.111419E-02  -0.516691E-02
   290   0.203173E+00   0.219256E-02   0.110553E-02  -0.480928E-02
   291   0.196738E+00   0.219347E-02   0.109678E-02  -0.445100E-02
   292   0.190539E+00   0.219355E-02   0.108794E-02  -0.409275E-02
   293   0.184587E+00   0.219275E-02   0.107902E-02  -0.373519E-02
   294   0.178889E+00   0.219108E-02   0.107004E-02  -0.337901E-02
   295   0.173456E+00   0.218849E-02   0.106099E-02  -0.302486E-02
   296   0.168295E+00   0.218498E-02   0.105188E-02  -0.267342E-02
   297   0.163416E+00   0.218051E-02   0.104274E-02  -0.232536E-02
   298   0.158828E+00   0.217506E-02   0.103355E-02  -0.198136E-02
   299   0.154540E+00   0.216862E-02   0.102434E-02  -0.164207E-02
   300   0.150561E+00   0.216115E-02   0.101510E-02  -0.130819E-02
   301   0.146896E+00   0.215265E-02   0.100585E-02  -0.980262E-03
   302   0.143541E+00   0.214315E-02   0.996600E-03  -0.658467E-03
   303   0.140486E+00   0.213266E-02   0.987343E-03  -0.342867E-03
   304   0.137724E+00   0.212123E-02   0.978090E-03  -0.335266E-04
   305   0.135246E+00   0.210889E-02   0.968845E-03   0.269490E-03
   306   0.133044E+00   0.209567E-02   0.959614E-03   0.566118E-03
   307   0.131108E+00   0.208161E-02   0.950401E-03   0.856293E-03
   308   0.129431E+00   0.206674E-02   0.941212E-03   0.113995E-02
   309   0.128005E+00   0.205109E-02   0.932053E-03   0.141702E-02
   310   0.126820E+00   0.203470E-02   0.922927E-03   0.168745E-02
   311   0.125869E+00   0.201759E-02   0.913841E-03   0.195116E-02
   312   0.125142E+00   0.199981E-02   0.904799E-03   0.220810E-02
   313   0.124632E+00   0.198138E-02   0.895807E-03   0.245819E-02
   314   0.124330E+00   0.196234E-02   0.886870E-03   0.270138E-02
   315   0.124228E+00   0.194272E-02   0.877993E-03   0.293760E-02
   316   0.124317E+00   0.192256E-02   0.869181E-03   0.316678E-02
   317   0.124589E+00   0.190188E-02   0.860439E-03   0.338886E-02
   318   0.125036E+00   0.188073E-02   0.851772E-03   0.360377E-02
   319   0.125648E+00   0.185913E-02   0.843187E-03   0.381146E-02
   320   0.126417E+00   0.183712E-02   0.834687E-03   0.401185E-02
   321   0.127336E+00   0.181473E-02   0.826278E-03   0.420488E-02
   322   0.128396E+00   0.179199E-02   0.817965E-03   0.439049E-02
   323   0.129587E+00   0.176895E-02   0.809753E-03   0.456860E-02
   324   0.130903E+00   0.174562E-02   0.801647E-03   0.473917E-02
   325   0.132333E+00   0.172204E-02   0.793654E-03   0.490211E-02
   326   0.133871E+00   0.169826E-02   0.785776E-03   0.505737E-02
   327   0.135507E+00   0.167429E-02   0.778021E-03   0.520489E-02
   328   0.137234E+00   0.165018E-02   0.770393E-03   0.534459E-02
   329   0.139042E+00   0.162595E-02   0.762897E-03   0.547641E-02
   330   0.140923E+00   0.160164E-02   0.755538E-03   0.560030E-02
   331   0.142868E+00   0.157729E-02   0.748322E-03   0.571617E-02
   332   0.144871E+00   0.155292E-02   0.741254E-03   0.582397E-02
   333   0.146921E+00   0.152858E-02   0.734338E-03   0.592364E-02
   334   0.149010E+00   0.150428E-02   0.727580E-03   0.601511E-02
   335   0.151131E+00   0.148007E-02   0.720986E-03   0.609831E-02
   336   0.153274E+00   0.145599E-02   0.714559E-03   0.617318E-02
   337   0.155432E+00   0.143205E-02   0.708306E-03   0.623965E-02
   338   0.157595E+00   0.140830E-02   0.702232E-03   0.629767E-02
   339   0.159755E+00   0.138477E-02   0.696342E-03   0.634716E-02
   340   0.161905E+00   0.136149E-02   0.690640E-03   0.638806E-02
   341   0.164034E+00   0.133849E-02   0.685133E-03   0.642031E-02
   342   0.166136E+00   0.131582E-02   0.679824E-03   0.644384E-02
   343   0.168202E+00   0.129349E-02   0.674720E-03   0.645858E-02
   344   0.170222E+00   0.127155E-02   0.669826E-03   0.646448E-02
   345   0.172190E+00   0.125003E-02   0.665147E-03   0.646146E-02
   346   0.174095E+00   0.122896E-02   0.660687E-03   0.644947E-02
   347   0.175931E+00   0.120838E-02   0.656452E-03   0.642843E-02
   348   0.177688E+00   0.118831E-02   0.652448E-03   0.639829E-02
   349   0.179358E+00   0.116880E-02   0.648678E-03   0.635897E-02
   350   0.180933E+00   0.114987E-02   0.645150E-03   0.631042E-02
   351   0.182405E+00   0.113155E-02   0.641865E-03   0.625264E-02
   352   0.183775E+00   0.111384E-02   0.638818E-03   0.618589E-02
   353   0.185044E+00   0.109674E-02   0.636004E-03   0.611053E-02
   354   0.186213E+00   0.108023E-02   0.633414E-03   0.602689E-02
   355   0.187284E+00   0.106432E-02   0.631042E-03   0.593532E-02
   356   0.188258E+00   0.104900E-02   0.628881E-03   0.583616E-02
   357   0.189137E+00   0.103426E-02   0.626924E-03   0.572974E-02
   358   0.189921E+00   0.102010E-02   0.625163E-03   0.561642E-02
   359   0.190613E+00   0.100650E-02   0.623593E-03   0.549653E-02
   360   0.191214E+00   0.993471E-03   0.622206E-03   0.537042E-02
   361   0.191725E+00   0.980998E-03   0.620995E-03   0.523842E-02
   362   0.192147E+00   0.969076E-03   0.619953E-03   0.510089E-02
   363   0.192483E+00   0.957700E-03   0.619073E-03   0.495815E-02
   364   0.192732E+00   0.946865E-03   0.618349E-03   0.481056E-02
   365   0.192898E+00   0.936563E-03   0.617772E-03   0.465845E-02
   366   0.192980E+00   0.926788E-03   0.617337E-03   0.450217E-02
   367   0.192981E+00   0.917536E-03   0.617036E-03   0.434205E-02
   368   0.192902E+00   0.908800E-03   0.616863E-03   0.417845E-02
   369   0.192745E+00   0.900573E-03   0.616810E-03   0.401169E-02
   370   0.192510E+00   0.892851E-03   0.616871E-03   0.384214E-02
   371   0.192199E+00   0.885626E-03   0.617038E-03   0.367011E-02
   372   0.191814E+00   0.878894E-03   0.617304E-03   0.349597E-02
   373   0.191356E+00   0.872647E-03   0.617664E-03   0.332004E-02
   374   0.190826E+00   0.866880E-03   0.618109E-03   0.314268E-02
   375   0.190225E+00   0.861588E-03   0.618632E-03   0.296422E-02
   376   0.189556E+00   0.856763E-03   0.619227E-03   0.278500E-02
   377   0.188820E+00   0.852401E-03   0.619887E-03   0.260537E-02
   378   0.188017E+00   0.848494E-03   0.620605E-03   0.242567E-02
   379   0.187150E+00   0.845038E-03   0.621374E-03   0.224624E-02
   380   0.186219E+00   0.842026E-03   0.622186E-03   0.206742E-02
   381   0.185227E+00   0.839451E-03   0.623036E-03   0.188955E-02
   382   0.184174E+00   0.837310E-03   0.623915E-03   0.171299E-02
   383   0.183062E+00   0.835594E-03   0.624818E-03   0.153805E-02
   384   0.181892E+00   0.834298E-03   0.625736E-03   0.136510E-02
   385   0.180666E+00   0.833417E-03   0.626664E-03   0.119447E-02
   386   0.179385E+00   0.832944E-03   0.627594E-03   0.102651E-02
