#    L    TT             EE             BB             TE          
   128   0.355585E+04   0.102437E+01   0.447076E-02  -0.386001E+02
   129   0.358965E+04   0.102944E+01   0.454425E-02  -0.390366E+02
   130   0.362344E+04   0.103401E+01   0.461846E-02  -0.394581E+02
   131   0.365721E+04   0.103823E+01   0.469342E-02  -0.398659E+02
   132   0.369103E+04   0.104195E+01   0.476911E-02  -0.402571E+02
   133   0.372475E+04   0.104523E+01   0.484556E-02  -0.406339E+02
   134   0.375846E+04   0.104810E+01   0.492276E-02  -0.409921E+02
   135   0.379215E+04   0.105046E+01   0.500073E-02  -0.413345E+02
   136   0.382568E+04   0.105232E+01   0.507946E-02  -0.416576E+02
   137   0.385919E+04   0.105375E+01   0.515897E-02  -0.419635E+02
   138   0.389261E+04   0.105469E+01   0.523926E-02  -0.422509E+02
   139   0.392580E+04   0.105528E+01   0.532034E-02  -0.425189E+02
   140   0.395906E+04   0.105529E+01   0.540221E-02  -0.427685E+02
   141   0.399208E+04   0.105481E+01   0.548489E-02  -0.429974E+02
   142   0.402509E+04   0.105390E+01   0.556837E-02  -0.432064E+02
   143   0.405802E+04   0.105257E+01   0.565267E-02  -0.433955E+02
   144   0.409072E+04   0.105074E+01   0.573780E-02  -0.435641E+02
   145   0.412327E+04   0.104857E+01   0.582375E-02  -0.437114E+02
   146   0.415589E+04   0.104583E+01   0.591053E-02  -0.438374E+02
   147   0.418814E+04   0.104274E+01   0.599815E-02  -0.439408E+02
   148   0.422024E+04   0.103915E+01   0.608662E-02  -0.440231E+02
   149   0.425226E+04   0.103515E+01   0.617594E-02  -0.440827E+02
   150   0.428399E+04   0.103080E+01   0.626612E-02  -0.441176E+02
   151   0.431557E+04   0.102603E+01   0.635716E-02  -0.441307E+02
   152   0.434685E+04   0.102076E+01   0.644907E-02  -0.441205E+02
   153   0.437799E+04   0.101515E+01   0.654185E-02  -0.440849E+02
   154   0.440891E+04   0.100920E+01   0.663550E-02  -0.440260E+02
   155   0.443960E+04   0.100290E+01   0.673003E-02  -0.439430E+02
   156   0.446992E+04   0.996251E+00   0.682545E-02  -0.438361E+02
   157   0.450017E+04   0.989258E+00   0.692176E-02  -0.437037E+02
   158   0.453012E+04   0.981993E+00   0.701895E-02  -0.435465E+02
   159   0.455976E+04   0.974307E+00   0.711703E-02  -0.433646E+02
   160   0.458918E+04   0.966348E+00   0.721601E-02  -0.431564E+02
   161   0.461837E+04   0.958190E+00   0.731589E-02  -0.429234E+02
   162   0.464726E+04   0.949685E+00   0.741666E-02  -0.426657E+02
   163   0.467600E+04   0.940907E+00   0.751833E-02  -0.423817E+02
   164   0.470428E+04   0.931929E+00   0.762089E-02  -0.420730E+02
   165   0.473241E+04   0.922677E+00   0.772436E-02  -0.417372E+02
   166   0.476023E+04   0.913300E+00   0.782872E-02  -0.413760E+02
   167   0.478782E+04   0.903573E+00   0.793397E-02  -0.409900E+02
   168   0.481495E+04   0.893870E+00   0.804012E-02  -0.405769E+02
   169   0.484178E+04   0.883891E+00   0.814717E-02  -0.401369E+02
   170   0.486830E+04   0.873860E+00   0.825510E-02  -0.396713E+02
   171   0.489436E+04   0.863776E+00   0.836393E-02  -0.391780E+02
   172   0.492004E+04   0.853565E+00   0.847363E-02  -0.386584E+02
   173   0.494526E+04   0.843227E+00   0.858422E-02  -0.381125E+02
   174   0.497017E+04   0.833057E+00   0.869568E-02  -0.375404E+02
   175   0.499469E+04   0.822760E+00   0.880802E-02  -0.369413E+02
