#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    77   0.198826E+04  -0.901024E+01   0.530542E-03  -0.901024E+01   0.402891E+00  -0.701360E-06   0.530542E-03  -0.701360E-06   0.109204E-06
    78   0.201417E+04  -0.952418E+01   0.522926E-03  -0.952418E+01   0.416644E+00  -0.643873E-06   0.522926E-03  -0.643873E-06   0.108518E-06
    79   0.204025E+04  -0.100461E+02   0.515386E-03  -0.100461E+02   0.430531E+00  -0.584235E-06   0.515386E-03  -0.584235E-06   0.107834E-06
    80   0.206662E+04  -0.105775E+02   0.507888E-03  -0.105775E+02   0.444556E+00  -0.534928E-06   0.507888E-03  -0.534928E-06   0.107150E-06
    81   0.209317E+04  -0.111188E+02   0.500408E-03  -0.111188E+02   0.458670E+00  -0.506033E-06   0.500408E-03  -0.506033E-06   0.106469E-06
    82   0.211996E+04  -0.116690E+02   0.492976E-03  -0.116690E+02   0.472893E+00  -0.498049E-06   0.492976E-03  -0.498049E-06   0.105789E-06
    83   0.214694E+04  -0.122276E+02   0.485636E-03  -0.122276E+02   0.487201E+00  -0.509076E-06   0.485636E-03  -0.509076E-06   0.105111E-06
    84   0.217418E+04  -0.127927E+02   0.478432E-03  -0.127927E+02   0.501590E+00  -0.537216E-06   0.478432E-03  -0.537216E-06   0.104435E-06
    85   0.220154E+04  -0.133653E+02   0.471407E-03  -0.133653E+02   0.516035E+00  -0.580570E-06   0.471407E-03  -0.580570E-06   0.103762E-06
    86   0.222910E+04  -0.139443E+02   0.464595E-03  -0.139443E+02   0.530550E+00  -0.636670E-06   0.464595E-03  -0.636670E-06   0.103092E-06
    87   0.225708E+04  -0.145290E+02   0.457991E-03  -0.145290E+02   0.545103E+00  -0.700776E-06   0.457991E-03  -0.700776E-06   0.102425E-06
    88   0.228504E+04  -0.151195E+02   0.451579E-03  -0.151195E+02   0.559710E+00  -0.767579E-06   0.451579E-03  -0.767579E-06   0.101761E-06
    89   0.231336E+04  -0.157174E+02   0.445347E-03  -0.157174E+02   0.574356E+00  -0.831771E-06   0.445347E-03  -0.831771E-06   0.101100E-06
    90   0.234188E+04  -0.163198E+02   0.439278E-03  -0.163198E+02   0.589003E+00  -0.888042E-06   0.439278E-03  -0.888042E-06   0.100442E-06
    91   0.237053E+04  -0.169276E+02   0.433361E-03  -0.169276E+02   0.603645E+00  -0.932132E-06   0.433361E-03  -0.932132E-06   0.997882E-07
    92   0.239947E+04  -0.175400E+02   0.427587E-03  -0.175400E+02   0.618267E+00  -0.963968E-06   0.427587E-03  -0.963968E-06   0.991375E-07
    93   0.242869E+04  -0.181571E+02   0.421954E-03  -0.181571E+02   0.632863E+00  -0.984525E-06   0.421954E-03  -0.984525E-06   0.984902E-07
    94   0.245797E+04  -0.187774E+02   0.416455E-03  -0.187774E+02   0.647396E+00  -0.994778E-06   0.416455E-03  -0.994778E-06   0.978466E-07
    95   0.248754E+04  -0.194018E+02   0.411087E-03  -0.194018E+02   0.661867E+00  -0.995704E-06   0.411087E-03  -0.995704E-06   0.972065E-07
    96   0.251710E+04  -0.200295E+02   0.405844E-03  -0.200295E+02   0.676262E+00  -0.988275E-06   0.405844E-03  -0.988275E-06   0.965700E-07
