#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  3633   0.520028E+01  -0.364850E+00   0.564490E-07  -0.364850E+00   0.185186E+00   0.180093E-09   0.564490E-07   0.180093E-09   0.392482E-09
  3634   0.519349E+01  -0.363034E+00   0.564609E-07  -0.363034E+00   0.184006E+00   0.164739E-09   0.564609E-07   0.164739E-09   0.392176E-09
  3635   0.518663E+01  -0.361190E+00   0.564732E-07  -0.361190E+00   0.182839E+00   0.149449E-09   0.564732E-07   0.149449E-09   0.391870E-09
  3636   0.517970E+01  -0.359302E+00   0.564861E-07  -0.359302E+00   0.181686E+00   0.134227E-09   0.564861E-07   0.134227E-09   0.391565E-09
  3637   0.517262E+01  -0.357395E+00   0.564994E-07  -0.357395E+00   0.180525E+00   0.119073E-09   0.564994E-07   0.119073E-09   0.391260E-09
  3638   0.516554E+01  -0.355451E+00   0.565131E-07  -0.355451E+00   0.179384E+00   0.103989E-09   0.565131E-07   0.103989E-09   0.390956E-09
  3639   0.515832E+01  -0.353480E+00   0.565273E-07  -0.353480E+00   0.178251E+00   0.889758E-10   0.565273E-07   0.889758E-10   0.390651E-09
  3640   0.515102E+01  -0.351487E+00   0.565420E-07  -0.351487E+00   0.177123E+00   0.740360E-10   0.565420E-07   0.740360E-10   0.390347E-09
  3641   0.514357E+01  -0.349466E+00   0.565571E-07  -0.349466E+00   0.176003E+00   0.591709E-10   0.565571E-07   0.591709E-10   0.390043E-09
  3642   0.513605E+01  -0.347410E+00   0.565726E-07  -0.347410E+00   0.174888E+00   0.443819E-10   0.565726E-07   0.443819E-10   0.389740E-09
  3643   0.512852E+01  -0.345340E+00   0.565886E-07  -0.345340E+00   0.173788E+00   0.296706E-10   0.565886E-07   0.296706E-10   0.389436E-09
  3644   0.512070E+01  -0.343241E+00   0.566050E-07  -0.343241E+00   0.172695E+00   0.150386E-10   0.566050E-07   0.150386E-10   0.389133E-09
  3645   0.511295E+01  -0.341114E+00   0.566218E-07  -0.341114E+00   0.171615E+00   0.487559E-12   0.566218E-07   0.487559E-12   0.388830E-09
  3646   0.510504E+01  -0.338966E+00   0.566390E-07  -0.338966E+00   0.170542E+00  -0.139811E-10   0.566390E-07  -0.139811E-10   0.388528E-09
  3647   0.509714E+01  -0.336797E+00   0.566566E-07  -0.336797E+00   0.169469E+00  -0.283657E-10   0.566566E-07  -0.283657E-10   0.388225E-09
  3648   0.508901E+01  -0.334607E+00   0.566746E-07  -0.334607E+00   0.168416E+00  -0.426647E-10   0.566746E-07  -0.426647E-10   0.387923E-09
  3649   0.508087E+01  -0.332395E+00   0.566929E-07  -0.332395E+00   0.167371E+00  -0.568766E-10   0.566929E-07  -0.568766E-10   0.387621E-09
  3650   0.507258E+01  -0.330169E+00   0.567117E-07  -0.330169E+00   0.166333E+00  -0.709997E-10   0.567117E-07  -0.709997E-10   0.387320E-09
  3651   0.506429E+01  -0.327907E+00   0.567308E-07  -0.327907E+00   0.165308E+00  -0.850326E-10   0.567308E-07  -0.850326E-10   0.387018E-09
  3652   0.505584E+01  -0.325646E+00   0.567502E-07  -0.325646E+00   0.164291E+00  -0.989745E-10   0.567502E-07  -0.989745E-10   0.386717E-09
  3653   0.504724E+01  -0.323357E+00   0.567700E-07  -0.323357E+00   0.163287E+00  -0.112824E-09   0.567700E-07  -0.112824E-09   0.386416E-09
  3654   0.503856E+01  -0.321053E+00   0.567902E-07  -0.321053E+00   0.162284E+00  -0.126581E-09   0.567902E-07  -0.126581E-09   0.386116E-09
  3655   0.502973E+01  -0.318729E+00   0.568106E-07  -0.318729E+00   0.161302E+00  -0.140245E-09   0.568106E-07  -0.140245E-09   0.385815E-09
  3656   0.502089E+01  -0.316391E+00   0.568314E-07  -0.316391E+00   0.160327E+00  -0.153814E-09   0.568314E-07  -0.153814E-09   0.385515E-09
  3657   0.501189E+01  -0.314047E+00   0.568525E-07  -0.314047E+00   0.159366E+00  -0.167288E-09   0.568525E-07  -0.167288E-09   0.385215E-09
  3658   0.500289E+01  -0.311682E+00   0.568739E-07  -0.311682E+00   0.158420E+00  -0.180665E-09   0.568739E-07  -0.180665E-09   0.384916E-09
  3659   0.499366E+01  -0.309303E+00   0.568955E-07  -0.309303E+00   0.157473E+00  -0.193946E-09   0.568955E-07  -0.193946E-09   0.384616E-09
  3660   0.498442E+01  -0.306911E+00   0.569175E-07  -0.306911E+00   0.156549E+00  -0.207129E-09   0.569175E-07  -0.207129E-09   0.384317E-09
  3661   0.497495E+01  -0.304513E+00   0.569397E-07  -0.304513E+00   0.155631E+00  -0.220213E-09   0.569397E-07  -0.220213E-09   0.384018E-09
  3662   0.496555E+01  -0.302103E+00   0.569621E-07  -0.302103E+00   0.154728E+00  -0.233198E-09   0.569621E-07  -0.233198E-09   0.383719E-09
  3663   0.495599E+01  -0.299686E+00   0.569848E-07  -0.299686E+00   0.153832E+00  -0.246082E-09   0.569848E-07  -0.246082E-09   0.383421E-09
  3664   0.494628E+01  -0.297264E+00   0.570078E-07  -0.297264E+00   0.152951E+00  -0.258866E-09   0.570078E-07  -0.258866E-09   0.383123E-09
  3665   0.493648E+01  -0.294813E+00   0.570309E-07  -0.294813E+00   0.152077E+00  -0.271547E-09   0.570309E-07  -0.271547E-09   0.382825E-09
  3666   0.492667E+01  -0.292380E+00   0.570543E-07  -0.292380E+00   0.151211E+00  -0.284126E-09   0.570543E-07  -0.284126E-09   0.382527E-09
  3667   0.491671E+01  -0.289941E+00   0.570779E-07  -0.289941E+00   0.150374E+00  -0.296601E-09   0.570779E-07  -0.296601E-09   0.382230E-09
  3668   0.490674E+01  -0.287482E+00   0.571017E-07  -0.287482E+00   0.149536E+00  -0.308972E-09   0.571017E-07  -0.308972E-09   0.381932E-09
  3669   0.489653E+01  -0.285025E+00   0.571256E-07  -0.285025E+00   0.148714E+00  -0.321238E-09   0.571256E-07  -0.321238E-09   0.381636E-09
  3670   0.488639E+01  -0.282578E+00   0.571498E-07  -0.282578E+00   0.147899E+00  -0.333397E-09   0.571498E-07  -0.333397E-09   0.381339E-09
  3671   0.487594E+01  -0.280110E+00   0.571741E-07  -0.280110E+00   0.147106E+00  -0.345450E-09   0.571741E-07  -0.345450E-09   0.381042E-09
  3672   0.486556E+01  -0.277645E+00   0.571985E-07  -0.277645E+00   0.146321E+00  -0.357395E-09   0.571985E-07  -0.357395E-09   0.380746E-09
  3673   0.485502E+01  -0.275175E+00   0.572231E-07  -0.275175E+00   0.145544E+00  -0.369231E-09   0.572231E-07  -0.369231E-09   0.380450E-09
  3674   0.484440E+01  -0.272715E+00   0.572478E-07  -0.272715E+00   0.144788E+00  -0.380958E-09   0.572478E-07  -0.380958E-09   0.380154E-09
  3675   0.483368E+01  -0.270250E+00   0.572727E-07  -0.270250E+00   0.144040E+00  -0.392574E-09   0.572727E-07  -0.392574E-09   0.379859E-09
  3676   0.482296E+01  -0.267795E+00   0.572977E-07  -0.267795E+00   0.143308E+00  -0.404080E-09   0.572977E-07  -0.404080E-09   0.379564E-09
  3677   0.481208E+01  -0.265320E+00   0.573227E-07  -0.265320E+00   0.142583E+00  -0.415473E-09   0.573227E-07  -0.415473E-09   0.379268E-09
  3678   0.480111E+01  -0.262863E+00   0.573479E-07  -0.262863E+00   0.141872E+00  -0.426754E-09   0.573479E-07  -0.426754E-09   0.378974E-09
  3679   0.479006E+01  -0.260409E+00   0.573731E-07  -0.260409E+00   0.141177E+00  -0.437922E-09   0.573731E-07  -0.437922E-09   0.378679E-09
  3680   0.477899E+01  -0.257957E+00   0.573984E-07  -0.257957E+00   0.140490E+00  -0.448975E-09   0.573984E-07  -0.448975E-09   0.378385E-09
  3681   0.476769E+01  -0.255516E+00   0.574238E-07  -0.255516E+00   0.139818E+00  -0.459912E-09   0.574238E-07  -0.459912E-09   0.378091E-09
  3682   0.475638E+01  -0.253078E+00   0.574493E-07  -0.253078E+00   0.139161E+00  -0.470734E-09   0.574493E-07  -0.470734E-09   0.377797E-09
  3683   0.474498E+01  -0.250650E+00   0.574747E-07  -0.250650E+00   0.138512E+00  -0.481439E-09   0.574747E-07  -0.481439E-09   0.377503E-09
  3684   0.473356E+01  -0.248225E+00   0.575002E-07  -0.248225E+00   0.137886E+00  -0.492026E-09   0.575002E-07  -0.492026E-09   0.377210E-09
  3685   0.472199E+01  -0.245804E+00   0.575258E-07  -0.245804E+00   0.137260E+00  -0.502495E-09   0.575258E-07  -0.502495E-09   0.376917E-09
  3686   0.471040E+01  -0.243401E+00   0.575513E-07  -0.243401E+00   0.136642E+00  -0.512844E-09   0.575513E-07  -0.512844E-09   0.376624E-09
  3687   0.469864E+01  -0.241001E+00   0.575769E-07  -0.241001E+00   0.136047E+00  -0.523073E-09   0.575769E-07  -0.523073E-09   0.376331E-09
  3688   0.468688E+01  -0.238604E+00   0.576024E-07  -0.238604E+00   0.135467E+00  -0.533181E-09   0.576024E-07  -0.533181E-09   0.376039E-09
  3689   0.467510E+01  -0.236226E+00   0.576279E-07  -0.236226E+00   0.134895E+00  -0.543167E-09   0.576279E-07  -0.543167E-09   0.375747E-09
  3690   0.466301E+01  -0.233859E+00   0.576534E-07  -0.233859E+00   0.134339E+00  -0.553030E-09   0.576534E-07  -0.553030E-09   0.375455E-09
  3691   0.465105E+01  -0.231503E+00   0.576789E-07  -0.231503E+00   0.133798E+00  -0.562770E-09   0.576789E-07  -0.562770E-09   0.375163E-09
  3692   0.463900E+01  -0.229165E+00   0.577043E-07  -0.229165E+00   0.133265E+00  -0.572386E-09   0.577043E-07  -0.572386E-09   0.374872E-09
  3693   0.462686E+01  -0.226839E+00   0.577296E-07  -0.226839E+00   0.132748E+00  -0.581876E-09   0.577296E-07  -0.581876E-09   0.374581E-09
  3694   0.461464E+01  -0.224523E+00   0.577549E-07  -0.224523E+00   0.132239E+00  -0.591241E-09   0.577549E-07  -0.591241E-09   0.374290E-09
  3695   0.460239E+01  -0.222227E+00   0.577801E-07  -0.222227E+00   0.131746E+00  -0.600478E-09   0.577801E-07  -0.600478E-09   0.373999E-09
  3696   0.458999E+01  -0.219949E+00   0.578052E-07  -0.219949E+00   0.131261E+00  -0.609588E-09   0.578052E-07  -0.609588E-09   0.373709E-09
  3697   0.457756E+01  -0.217683E+00   0.578302E-07  -0.217683E+00   0.130799E+00  -0.618569E-09   0.578302E-07  -0.618569E-09   0.373418E-09
  3698   0.456520E+01  -0.215435E+00   0.578551E-07  -0.215435E+00   0.130337E+00  -0.627421E-09   0.578551E-07  -0.627421E-09   0.373128E-09
  3699   0.455266E+01  -0.213192E+00   0.578799E-07  -0.213192E+00   0.129892E+00  -0.636143E-09   0.578799E-07  -0.636143E-09   0.372839E-09
  3700   0.454004E+01  -0.210983E+00   0.579046E-07  -0.210983E+00   0.129462E+00  -0.644734E-09   0.579046E-07  -0.644734E-09   0.372549E-09
  3701   0.452740E+01  -0.208785E+00   0.579291E-07  -0.208785E+00   0.129041E+00  -0.653193E-09   0.579291E-07  -0.653193E-09   0.372260E-09
  3702   0.451467E+01  -0.206607E+00   0.579535E-07  -0.206607E+00   0.128628E+00  -0.661520E-09   0.579535E-07  -0.661520E-09   0.371971E-09
  3703   0.450192E+01  -0.204448E+00   0.579777E-07  -0.204448E+00   0.128238E+00  -0.669716E-09   0.579777E-07  -0.669716E-09   0.371682E-09
  3704   0.448915E+01  -0.202308E+00   0.580018E-07  -0.202308E+00   0.127850E+00  -0.677780E-09   0.580018E-07  -0.677780E-09   0.371393E-09
  3705   0.447630E+01  -0.200180E+00   0.580257E-07  -0.200180E+00   0.127484E+00  -0.685712E-09   0.580257E-07  -0.685712E-09   0.371105E-09
  3706   0.446335E+01  -0.198080E+00   0.580494E-07  -0.198080E+00   0.127112E+00  -0.693512E-09   0.580494E-07  -0.693512E-09   0.370817E-09
  3707   0.445038E+01  -0.196007E+00   0.580730E-07  -0.196007E+00   0.126771E+00  -0.701181E-09   0.580730E-07  -0.701181E-09   0.370529E-09
  3708   0.443733E+01  -0.193953E+00   0.580964E-07  -0.193953E+00   0.126431E+00  -0.708718E-09   0.580964E-07  -0.708718E-09   0.370241E-09
  3709   0.442433E+01  -0.191920E+00   0.581196E-07  -0.191920E+00   0.126107E+00  -0.716124E-09   0.581196E-07  -0.716124E-09   0.369954E-09
  3710   0.441132E+01  -0.189914E+00   0.581426E-07  -0.189914E+00   0.125791E+00  -0.723398E-09   0.581426E-07  -0.723398E-09   0.369667E-09
  3711   0.439814E+01  -0.187921E+00   0.581655E-07  -0.187921E+00   0.125491E+00  -0.730541E-09   0.581655E-07  -0.730541E-09   0.369380E-09
  3712   0.438502E+01  -0.185970E+00   0.581881E-07  -0.185970E+00   0.125200E+00  -0.737552E-09   0.581881E-07  -0.737552E-09   0.369093E-09
  3713   0.437188E+01  -0.184025E+00   0.582106E-07  -0.184025E+00   0.124917E+00  -0.744431E-09   0.582106E-07  -0.744431E-09   0.368806E-09
  3714   0.435865E+01  -0.182115E+00   0.582328E-07  -0.182115E+00   0.124627E+00  -0.751179E-09   0.582328E-07  -0.751179E-09   0.368520E-09
  3715   0.434541E+01  -0.180226E+00   0.582548E-07  -0.180226E+00   0.124376E+00  -0.757796E-09   0.582548E-07  -0.757796E-09   0.368234E-09
  3716   0.433208E+01  -0.178364E+00   0.582766E-07  -0.178364E+00   0.124126E+00  -0.764282E-09   0.582766E-07  -0.764282E-09   0.367948E-09
  3717   0.431880E+01  -0.176531E+00   0.582982E-07  -0.176531E+00   0.123885E+00  -0.770636E-09   0.582982E-07  -0.770636E-09   0.367663E-09
  3718   0.430551E+01  -0.174719E+00   0.583195E-07  -0.174719E+00   0.123652E+00  -0.776858E-09   0.583195E-07  -0.776858E-09   0.367378E-09
  3719   0.429206E+01  -0.172936E+00   0.583406E-07  -0.172936E+00   0.123434E+00  -0.782950E-09   0.583406E-07  -0.782950E-09   0.367092E-09
  3720   0.427874E+01  -0.171180E+00   0.583615E-07  -0.171180E+00   0.123248E+00  -0.788910E-09   0.583615E-07  -0.788910E-09   0.366808E-09
  3721   0.426533E+01  -0.169454E+00   0.583821E-07  -0.169454E+00   0.123048E+00  -0.794739E-09   0.583821E-07  -0.794739E-09   0.366523E-09
  3722   0.425198E+01  -0.167749E+00   0.584025E-07  -0.167749E+00   0.122857E+00  -0.800437E-09   0.584025E-07  -0.800437E-09   0.366239E-09
  3723   0.423854E+01  -0.166080E+00   0.584226E-07  -0.166080E+00   0.122681E+00  -0.806003E-09   0.584226E-07  -0.806003E-09   0.365954E-09
  3724   0.422516E+01  -0.164432E+00   0.584424E-07  -0.164432E+00   0.122514E+00  -0.811439E-09   0.584424E-07  -0.811439E-09   0.365671E-09
  3725   0.421169E+01  -0.162821E+00   0.584620E-07  -0.162821E+00   0.122356E+00  -0.816743E-09   0.584620E-07  -0.816743E-09   0.365387E-09
  3726   0.419821E+01  -0.161232E+00   0.584813E-07  -0.161232E+00   0.122199E+00  -0.821917E-09   0.584813E-07  -0.821917E-09   0.365103E-09
  3727   0.418478E+01  -0.159679E+00   0.585003E-07  -0.159679E+00   0.122065E+00  -0.826959E-09   0.585003E-07  -0.826959E-09   0.364820E-09
  3728   0.417134E+01  -0.158156E+00   0.585191E-07  -0.158156E+00   0.121925E+00  -0.831871E-09   0.585191E-07  -0.831871E-09   0.364537E-09
  3729   0.415782E+01  -0.156662E+00   0.585376E-07  -0.156662E+00   0.121816E+00  -0.836651E-09   0.585376E-07  -0.836651E-09   0.364254E-09
  3730   0.414442E+01  -0.155190E+00   0.585557E-07  -0.155190E+00   0.121700E+00  -0.841300E-09   0.585557E-07  -0.841300E-09   0.363972E-09
  3731   0.413094E+01  -0.153755E+00   0.585736E-07  -0.153755E+00   0.121594E+00  -0.845819E-09   0.585736E-07  -0.845819E-09   0.363690E-09
  3732   0.411752E+01  -0.152350E+00   0.585912E-07  -0.152350E+00   0.121488E+00  -0.850207E-09   0.585912E-07  -0.850207E-09   0.363407E-09
  3733   0.410401E+01  -0.150975E+00   0.586084E-07  -0.150975E+00   0.121406E+00  -0.854463E-09   0.586084E-07  -0.854463E-09   0.363126E-09
  3734   0.409064E+01  -0.149623E+00   0.586253E-07  -0.149623E+00   0.121325E+00  -0.858589E-09   0.586253E-07  -0.858589E-09   0.362844E-09
  3735   0.407718E+01  -0.148315E+00   0.586420E-07  -0.148315E+00   0.121245E+00  -0.862585E-09   0.586420E-07  -0.862585E-09   0.362563E-09
  3736   0.406378E+01  -0.147045E+00   0.586583E-07  -0.147045E+00   0.121182E+00  -0.866449E-09   0.586583E-07  -0.866449E-09   0.362281E-09
  3737   0.405044E+01  -0.145790E+00   0.586742E-07  -0.145790E+00   0.121127E+00  -0.870183E-09   0.586742E-07  -0.870183E-09   0.362000E-09
  3738   0.403693E+01  -0.144581E+00   0.586898E-07  -0.144581E+00   0.121073E+00  -0.873786E-09   0.586898E-07  -0.873786E-09   0.361720E-09
  3739   0.402357E+01  -0.143387E+00   0.587051E-07  -0.143387E+00   0.121035E+00  -0.877258E-09   0.587051E-07  -0.877258E-09   0.361439E-09
  3740   0.401034E+01  -0.142231E+00   0.587201E-07  -0.142231E+00   0.120999E+00  -0.880600E-09   0.587201E-07  -0.880600E-09   0.361159E-09
  3741   0.399694E+01  -0.141084E+00   0.587347E-07  -0.141084E+00   0.120972E+00  -0.883811E-09   0.587347E-07  -0.883811E-09   0.360879E-09
  3742   0.398361E+01  -0.139989E+00   0.587489E-07  -0.139989E+00   0.120945E+00  -0.886892E-09   0.587489E-07  -0.886892E-09   0.360599E-09
  3743   0.397034E+01  -0.138926E+00   0.587627E-07  -0.138926E+00   0.120928E+00  -0.889842E-09   0.587627E-07  -0.889842E-09   0.360320E-09
  3744   0.395714E+01  -0.137893E+00   0.587762E-07  -0.137893E+00   0.120919E+00  -0.892661E-09   0.587762E-07  -0.892661E-09   0.360040E-09
  3745   0.394392E+01  -0.136892E+00   0.587894E-07  -0.136892E+00   0.120918E+00  -0.895350E-09   0.587894E-07  -0.895350E-09   0.359761E-09
  3746   0.393076E+01  -0.135929E+00   0.588021E-07  -0.135929E+00   0.120919E+00  -0.897909E-09   0.588021E-07  -0.897909E-09   0.359482E-09
  3747   0.391751E+01  -0.134997E+00   0.588145E-07  -0.134997E+00   0.120929E+00  -0.900337E-09   0.588145E-07  -0.900337E-09   0.359204E-09
  3748   0.390440E+01  -0.134097E+00   0.588264E-07  -0.134097E+00   0.120940E+00  -0.902635E-09   0.588264E-07  -0.902635E-09   0.358925E-09
  3749   0.389136E+01  -0.133221E+00   0.588380E-07  -0.133221E+00   0.120960E+00  -0.904802E-09   0.588380E-07  -0.904802E-09   0.358647E-09
  3750   0.387822E+01  -0.132384E+00   0.588492E-07  -0.132384E+00   0.120982E+00  -0.906839E-09   0.588492E-07  -0.906839E-09   0.358369E-09
  3751   0.386530E+01  -0.131579E+00   0.588600E-07  -0.131579E+00   0.121012E+00  -0.908746E-09   0.588600E-07  -0.908746E-09   0.358091E-09
  3752   0.385229E+01  -0.130813E+00   0.588703E-07  -0.130813E+00   0.121043E+00  -0.910523E-09   0.588703E-07  -0.910523E-09   0.357814E-09
  3753   0.383935E+01  -0.130071E+00   0.588803E-07  -0.130071E+00   0.121090E+00  -0.912172E-09   0.588803E-07  -0.912172E-09   0.357536E-09
  3754   0.382647E+01  -0.129354E+00   0.588898E-07  -0.129354E+00   0.121132E+00  -0.913692E-09   0.588898E-07  -0.913692E-09   0.357259E-09
  3755   0.381358E+01  -0.128676E+00   0.588989E-07  -0.128676E+00   0.121182E+00  -0.915084E-09   0.588989E-07  -0.915084E-09   0.356982E-09
  3756   0.380075E+01  -0.128037E+00   0.589076E-07  -0.128037E+00   0.121233E+00  -0.916350E-09   0.589076E-07  -0.916350E-09   0.356706E-09
  3757   0.378798E+01  -0.127423E+00   0.589158E-07  -0.127423E+00   0.121286E+00  -0.917489E-09   0.589158E-07  -0.917489E-09   0.356429E-09
  3758   0.377521E+01  -0.126833E+00   0.589237E-07  -0.126833E+00   0.121347E+00  -0.918503E-09   0.589237E-07  -0.918503E-09   0.356153E-09
  3759   0.376258E+01  -0.126283E+00   0.589310E-07  -0.126283E+00   0.121410E+00  -0.919392E-09   0.589310E-07  -0.919392E-09   0.355877E-09
  3760   0.374993E+01  -0.125758E+00   0.589380E-07  -0.125758E+00   0.121488E+00  -0.920157E-09   0.589380E-07  -0.920157E-09   0.355601E-09
  3761   0.373750E+01  -0.125265E+00   0.589445E-07  -0.125265E+00   0.121561E+00  -0.920799E-09   0.589445E-07  -0.920799E-09   0.355326E-09
  3762   0.372499E+01  -0.124804E+00   0.589505E-07  -0.124804E+00   0.121634E+00  -0.921317E-09   0.589505E-07  -0.921317E-09   0.355051E-09
  3763   0.371254E+01  -0.124368E+00   0.589561E-07  -0.124368E+00   0.121709E+00  -0.921714E-09   0.589561E-07  -0.921714E-09   0.354775E-09
  3764   0.370016E+01  -0.123972E+00   0.589613E-07  -0.123972E+00   0.121785E+00  -0.921989E-09   0.589613E-07  -0.921989E-09   0.354501E-09
  3765   0.368785E+01  -0.123593E+00   0.589660E-07  -0.123593E+00   0.121869E+00  -0.922144E-09   0.589660E-07  -0.922144E-09   0.354226E-09
  3766   0.367567E+01  -0.123254E+00   0.589702E-07  -0.123254E+00   0.121947E+00  -0.922178E-09   0.589702E-07  -0.922178E-09   0.353952E-09
  3767   0.366342E+01  -0.122948E+00   0.589740E-07  -0.122948E+00   0.122034E+00  -0.922093E-09   0.589740E-07  -0.922093E-09   0.353677E-09
  3768   0.365131E+01  -0.122659E+00   0.589772E-07  -0.122659E+00   0.122129E+00  -0.921889E-09   0.589772E-07  -0.921889E-09   0.353403E-09
  3769   0.363926E+01  -0.122403E+00   0.589801E-07  -0.122403E+00   0.122218E+00  -0.921568E-09   0.589801E-07  -0.921568E-09   0.353130E-09
  3770   0.362729E+01  -0.122172E+00   0.589824E-07  -0.122172E+00   0.122315E+00  -0.921129E-09   0.589824E-07  -0.921129E-09   0.352856E-09
  3771   0.361538E+01  -0.121981E+00   0.589842E-07  -0.121981E+00   0.122399E+00  -0.920573E-09   0.589842E-07  -0.920573E-09   0.352583E-09
  3772   0.360354E+01  -0.121808E+00   0.589856E-07  -0.121808E+00   0.122491E+00  -0.919902E-09   0.589856E-07  -0.919902E-09   0.352310E-09
  3773   0.359177E+01  -0.121668E+00   0.589865E-07  -0.121668E+00   0.122591E+00  -0.919115E-09   0.589865E-07  -0.919115E-09   0.352037E-09
  3774   0.358007E+01  -0.121553E+00   0.589869E-07  -0.121553E+00   0.122700E+00  -0.918213E-09   0.589869E-07  -0.918213E-09   0.351764E-09
  3775   0.356843E+01  -0.121456E+00   0.589867E-07  -0.121456E+00   0.122788E+00  -0.917198E-09   0.589867E-07  -0.917198E-09   0.351492E-09
  3776   0.355687E+01  -0.121399E+00   0.589861E-07  -0.121399E+00   0.122891E+00  -0.916069E-09   0.589861E-07  -0.916069E-09   0.351220E-09
  3777   0.354545E+01  -0.121368E+00   0.589850E-07  -0.121368E+00   0.122988E+00  -0.914828E-09   0.589850E-07  -0.914828E-09   0.350948E-09
  3778   0.353418E+01  -0.121355E+00   0.589834E-07  -0.121355E+00   0.123093E+00  -0.913475E-09   0.589834E-07  -0.913475E-09   0.350676E-09
  3779   0.352283E+01  -0.121382E+00   0.589812E-07  -0.121382E+00   0.123185E+00  -0.912011E-09   0.589812E-07  -0.912011E-09   0.350404E-09
  3780   0.351162E+01  -0.121420E+00   0.589786E-07  -0.121420E+00   0.123285E+00  -0.910436E-09   0.589786E-07  -0.910436E-09   0.350133E-09
  3781   0.350049E+01  -0.121492E+00   0.589754E-07  -0.121492E+00   0.123378E+00  -0.908752E-09   0.589754E-07  -0.908752E-09   0.349862E-09
  3782   0.348935E+01  -0.121581E+00   0.589717E-07  -0.121581E+00   0.123479E+00  -0.906958E-09   0.589717E-07  -0.906958E-09   0.349591E-09
  3783   0.347821E+01  -0.121697E+00   0.589674E-07  -0.121697E+00   0.123575E+00  -0.905056E-09   0.589674E-07  -0.905056E-09   0.349320E-09
  3784   0.346737E+01  -0.121853E+00   0.589627E-07  -0.121853E+00   0.123670E+00  -0.903047E-09   0.589627E-07  -0.903047E-09   0.349050E-09
  3785   0.345652E+01  -0.122005E+00   0.589574E-07  -0.122005E+00   0.123767E+00  -0.900930E-09   0.589574E-07  -0.900930E-09   0.348780E-09
  3786   0.344567E+01  -0.122199E+00   0.589515E-07  -0.122199E+00   0.123865E+00  -0.898706E-09   0.589515E-07  -0.898706E-09   0.348510E-09
  3787   0.343505E+01  -0.122410E+00   0.589451E-07  -0.122410E+00   0.123963E+00  -0.896377E-09   0.589451E-07  -0.896377E-09   0.348240E-09
  3788   0.342450E+01  -0.122641E+00   0.589382E-07  -0.122641E+00   0.124047E+00  -0.893943E-09   0.589382E-07  -0.893943E-09   0.347970E-09
  3789   0.341402E+01  -0.122897E+00   0.589307E-07  -0.122897E+00   0.124140E+00  -0.891405E-09   0.589307E-07  -0.891405E-09   0.347701E-09
  3790   0.340361E+01  -0.123180E+00   0.589227E-07  -0.123180E+00   0.124226E+00  -0.888763E-09   0.589227E-07  -0.888763E-09   0.347432E-09
  3791   0.339328E+01  -0.123481E+00   0.589141E-07  -0.123481E+00   0.124312E+00  -0.886018E-09   0.589141E-07  -0.886018E-09   0.347163E-09
  3792   0.338310E+01  -0.123801E+00   0.589049E-07  -0.123801E+00   0.124400E+00  -0.883171E-09   0.589049E-07  -0.883171E-09   0.346894E-09
  3793   0.337292E+01  -0.124125E+00   0.588952E-07  -0.124125E+00   0.124481E+00  -0.880222E-09   0.588952E-07  -0.880222E-09   0.346626E-09
  3794   0.336289E+01  -0.124483E+00   0.588849E-07  -0.124483E+00   0.124562E+00  -0.877172E-09   0.588849E-07  -0.877172E-09   0.346358E-09
  3795   0.335293E+01  -0.124860E+00   0.588740E-07  -0.124860E+00   0.124637E+00  -0.874022E-09   0.588740E-07  -0.874022E-09   0.346090E-09
  3796   0.334305E+01  -0.125278E+00   0.588626E-07  -0.125278E+00   0.124712E+00  -0.870772E-09   0.588626E-07  -0.870772E-09   0.345822E-09
  3797   0.333324E+01  -0.125700E+00   0.588505E-07  -0.125700E+00   0.124788E+00  -0.867424E-09   0.588505E-07  -0.867424E-09   0.345554E-09
  3798   0.332359E+01  -0.126141E+00   0.588379E-07  -0.126141E+00   0.124857E+00  -0.863977E-09   0.588379E-07  -0.863977E-09   0.345287E-09
  3799   0.331401E+01  -0.126594E+00   0.588247E-07  -0.126594E+00   0.124927E+00  -0.860433E-09   0.588247E-07  -0.860433E-09   0.345019E-09
  3800   0.330444E+01  -0.127074E+00   0.588109E-07  -0.127074E+00   0.124998E+00  -0.856792E-09   0.588109E-07  -0.856792E-09   0.344752E-09
  3801   0.329501E+01  -0.127565E+00   0.587965E-07  -0.127565E+00   0.125047E+00  -0.853055E-09   0.587965E-07  -0.853055E-09   0.344486E-09
  3802   0.328567E+01  -0.128076E+00   0.587815E-07  -0.128076E+00   0.125111E+00  -0.849222E-09   0.587815E-07  -0.849222E-09   0.344219E-09
  3803   0.327640E+01  -0.128598E+00   0.587659E-07  -0.128598E+00   0.125161E+00  -0.845296E-09   0.587659E-07  -0.845296E-09   0.343953E-09
  3804   0.326736E+01  -0.129139E+00   0.587497E-07  -0.129139E+00   0.125212E+00  -0.841275E-09   0.587497E-07  -0.841275E-09   0.343687E-09
  3805   0.325825E+01  -0.129700E+00   0.587329E-07  -0.129700E+00   0.125263E+00  -0.837163E-09   0.587329E-07  -0.837163E-09   0.343421E-09
  3806   0.324929E+01  -0.130264E+00   0.587155E-07  -0.130264E+00   0.125307E+00  -0.832958E-09   0.587155E-07  -0.832958E-09   0.343155E-09
