#    L    TT             EE             BB             TE          
   334   0.286263E+04   0.149439E+02   0.307841E-01   0.106121E+03
   335   0.283303E+04   0.151149E+02   0.308836E-01   0.105212E+03
   336   0.280374E+04   0.152851E+02   0.309828E-01   0.104273E+03
   337   0.277473E+04   0.154547E+02   0.310816E-01   0.103291E+03
   338   0.274594E+04   0.156220E+02   0.311801E-01   0.102288E+03
   339   0.271752E+04   0.157893E+02   0.312784E-01   0.101248E+03
   340   0.268932E+04   0.159545E+02   0.313765E-01   0.100186E+03
   341   0.266133E+04   0.161174E+02   0.314743E-01   0.990804E+02
   342   0.263371E+04   0.162804E+02   0.315719E-01   0.979459E+02
   343   0.260638E+04   0.164405E+02   0.316693E-01   0.967823E+02
   344   0.257941E+04   0.165991E+02   0.317666E-01   0.955897E+02
   345   0.255266E+04   0.167555E+02   0.318637E-01   0.943681E+02
   346   0.252628E+04   0.169112E+02   0.319607E-01   0.931248E+02
   347   0.250018E+04   0.170640E+02   0.320576E-01   0.918450E+02
   348   0.247445E+04   0.172146E+02   0.321545E-01   0.905361E+02
   349   0.244900E+04   0.173638E+02   0.322513E-01   0.891982E+02
   350   0.242392E+04   0.175101E+02   0.323480E-01   0.878386E+02
   351   0.239935E+04   0.176549E+02   0.324448E-01   0.864499E+02
   352   0.237492E+04   0.177976E+02   0.325416E-01   0.850321E+02
   353   0.235092E+04   0.179374E+02   0.326384E-01   0.836000E+02
   354   0.232721E+04   0.180749E+02   0.327353E-01   0.821313E+02
   355   0.230394E+04   0.182104E+02   0.328322E-01   0.806409E+02
   356   0.228103E+04   0.183436E+02   0.329292E-01   0.791362E+02
   357   0.225849E+04   0.184740E+02   0.330262E-01   0.776023E+02
   358   0.223638E+04   0.186007E+02   0.331234E-01   0.760541E+02
   359   0.221455E+04   0.187253E+02   0.332206E-01   0.744766E+02
   360   0.219317E+04   0.188477E+02   0.333180E-01   0.728811E+02
   361   0.217215E+04   0.189672E+02   0.334154E-01   0.712630E+02
   362   0.215156E+04   0.190838E+02   0.335131E-01   0.696254E+02
   363   0.213133E+04   0.191983E+02   0.336108E-01   0.679703E+02
   364   0.211155E+04   0.193084E+02   0.337088E-01   0.662941E+02
   365   0.209212E+04   0.194163E+02   0.338069E-01   0.646028E+02
   366   0.207313E+04   0.195214E+02   0.339052E-01   0.628932E+02
   367   0.205458E+04   0.196221E+02   0.340036E-01   0.611677E+02
   368   0.203631E+04   0.197206E+02   0.341023E-01   0.594277E+02
   369   0.201863E+04   0.198163E+02   0.342013E-01   0.576710E+02
   370   0.200132E+04   0.199084E+02   0.343004E-01   0.559027E+02
   371   0.198436E+04   0.199968E+02   0.343998E-01   0.541191E+02
   372   0.196784E+04   0.200824E+02   0.344994E-01   0.523247E+02
   373   0.195176E+04   0.201643E+02   0.345993E-01   0.505164E+02
   374   0.193612E+04   0.202434E+02   0.346995E-01   0.486980E+02
   375   0.192083E+04   0.203188E+02   0.347999E-01   0.468694E+02
   376   0.190606E+04   0.203914E+02   0.349007E-01   0.450306E+02
   377   0.189173E+04   0.204597E+02   0.350017E-01   0.431846E+02
