4.8000e+01 8.4943e-10 2.1357e-10 2.2139e-10 1.6767e-10 2.4240e-11 1.9330e-11
1.1000e+01 1.6406e-08 3.8232e-09 4.2053e-09 3.1131e-09 4.6051e-10 3.6480e-10
5.3000e+01 6.9744e-10 1.7824e-10 1.8170e-10 1.3892e-10 1.9892e-11 1.5898e-11
4.3000e+01 1.0560e-09 2.6157e-10 2.7573e-10 2.0680e-10 3.0190e-11 2.4021e-11
4.2000e+01 1.1074e-09 2.7353e-10 2.8899e-10 2.1652e-10 3.1642e-11 2.5170e-11
3.0000e+00 2.4928e-07 5.7045e-08 5.6530e-08 4.6842e-08 6.1905e-09 5.0044e-09
5.7000e+01 6.0445e-10 1.5666e-10 1.5717e-10 1.2140e-10 1.7206e-11 1.3782e-11
4.0000e+01 1.2203e-09 2.9974e-10 3.1856e-10 2.3789e-10 3.4880e-11 2.7723e-11
1.6000e+01 7.6803e-09 1.8007e-09 1.9880e-09 1.4623e-09 2.1769e-10 1.7226e-10
3.0000e+01 2.1693e-09 5.2043e-10 5.6588e-10 4.1781e-10 6.1963e-11 4.9106e-11
1.3000e+01 1.1699e-08 2.7321e-09 3.0110e-09 2.2224e-09 3.2973e-10 2.6107e-10
2.9000e+01 2.3194e-09 5.5543e-10 6.0554e-10 4.4636e-10 6.6306e-11 5.2526e-11
2.2000e+01 4.0383e-09 9.5470e-10 1.0518e-09 7.7206e-10 1.1517e-10 9.1124e-11
